Company name,Symbol
CENTREX METALS LIMITED,CXM
CENTURIA CAPITAL GROUP,CNI
CENTURIA INDUSTRIAL REIT,CIP
CENTURIA METROPOLITAN REIT,CMA
CENTURY AUSTRALIA INVESTMENTS LIMITED,CYA
CERVANTES CORPORATION LIMITED,CVS
CFOAM LIMITED,CFO
CHALICE GOLD MINES LIMITED,CHN
CHALLENGER ENERGY LIMITED,CEL
CHALLENGER LIMITED,CGF
CHALLENGER MILLENNIUM SERIES 2007-1E TRUST,CHJ
CHALLENGER MILLENNIUM SERIES 2007-2L TRUST,CHU
CHALMERS LIMITED,CHR
CHAMPION IRON LIMITED,CIA
CHANGE FINANCIAL LIMITED,CCA
CHANT WEST HOLDINGS LIMITED,CWL
CHAPMANS LIMITED,CHP
CHARTER HALL GROUP,CHC
CHARTER HALL LONG WALE REIT,CLW
CHARTER HALL RETAIL REIT,CQR
CHESSER RESOURCES LIMITED,CHZ
CHINA CONSTRUCTION BANK CORPORATION,CCB
CHINA DAIRY CORPORATION LIMITED,CDC
CHINA MAGNESIUM CORPORATION LIMITED,CMC
CHINA TRACK LIMITED,CTC
CHONGHERR INVESTMENTS LTD,CDH
CHORUS LIMITED,CNU
CI RESOURCES LIMITED,CII
CIMIC GROUP LIMITED,CIM
CIRRALTO LIMITED,CRO
CIRRUS NETWORKS HOLDINGS LIMITED,CNW
CITIGOLD CORPORATION LIMITED,CTO
CLANCY EXPLORATION LIMITED,CLY
CLARIUS GROUP LIMITED,CND
CLASS LIMITED,CL1
CLASSIC MINERALS LTD,CLZ
CLEAN SEAS SEAFOOD LIMITED,CSS
CLEAN TEQ HOLDINGS LIMITED,CLQ
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY
CLEARVIEW WEALTH LIMITED,CVW
CLEARVUE TECHNOLOGIES LIMITED,CPV
CLEVELAND MINING COMPANY LIMITED,CDG
CLIME CAPITAL LIMITED,CAM
CLIME INVESTMENT MANAGEMENT LTD,CIW
CLINUVEL PHARMACEUTICALS LIMITED,CUV
CLOVER CORPORATION LIMITED,CLV
CMI LIMITED.,CMI
CML GROUP LIMITED,CGR
COASSETS LIMITED.,CA8
COBALT BLUE HOLDINGS LIMITED,COB
COCA-COLA AMATIL LIMITED,CCL
COCHLEAR LIMITED,COH
CODAN LIMITED,CDA
COGSTATE LTD,CGS
COHIBA MINERALS LIMITED,CHK
COKAL LIMITED,CKA
COLLABORATE CORPORATION LIMITED,CL8
COLLECTION HOUSE LIMITED,CLH
COLLERINA COBALT LIMITED,CLL
COLLINS FOODS LIMITED,CKF
COMET RESOURCES LIMITED,CRL
COMET RIDGE LIMITED,COI
COMMONWEALTH BANK OF AUSTRALIA.,CBA
COMMSCHOICE GROUP LIMITED,CCG
COMOPS LIMITED,COM
COMPAGNIE DE FINANCEMENT FONCIER,CFF
COMPUMEDICS LIMITED,CMP
COMPUTERSHARE LIMITED.,CPU
CONDOR BLANCO MINES LIMITED,CDB
CONICO LTD,CNJ
CONNECTED IO LIMITED,CIO
CONNEXION MEDIA LIMITED,CXZ
CONSOLIDATED OPERATIONS GROUP LIMITED,COG
CONSOLIDATED TIN MINES LIMITED,CSD
CONSOLIDATED ZINC LIMITED,CZL
CONTACT ENERGY LIMITED,CEN
CONTANGO ASSET MANAGEMENT LIMITED,CGA
CONTANGO GLOBAL GROWTH LIMITED,CQG
CONTANGO INCOME GENERATOR  LIMITED,CIE
CONTRARIAN VALUE FUND LIMITED,CVF
CONVENIENCE RETAIL REIT,CRR
